sex,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Male,22321,22431,22957,23221,23920,25011,25256,25315,25365,25178,25788
Female,11712,11593,12042,12294,13161,13952,14083,14273,14499,12781,13716
